"Node.A","Node.B"
"AARS","AKT1"
"AARS","ARF1"
"AARS","ATP2A2"
"AARS","DDB1"
"AARS","ESPL1"
"AARS","HGS"
"AARS","HSP90AB1"
"AARS","LMNB2"
"AARS","NCK1"
"AARS","PKMYT1"
"AARS","STAM2"
"AARS","TSC2"
"AARS","TUBB"
"AARS","UBA1"
"AARS","UBE2I"
"AARS","UBE2Q2"
"AARS2","ANAPC2"
"AARS2","AP2M1"
"AARS2","ARFGAP2"
"AARS2","ARHGEF1"
"AARS2","ATP6V1G2"
"AARS2","BMS1"
"AARS2","CHD8"
"AARS2","CHMP2B"
"AARS2","CUL7"
"AARS2","EDNRB"
"AARS2","FARSA"
"AARS2","FGF7"
"AARS2","FOLR1"
"AARS2","HGS"
"AARS2","HSP90AB1"
"AARS2","INPPL1"
"AARS2","ITPR3"
"AARS2","MCM3"
"AARS2","NAT10"
"AARS2","NCK1"
"AARS2","NCKAP1L"
"AARS2","PIM1"
"AARS2","PPP2R5D"
"AARS2","SRF"
"AARS2","STAM2"
"AARS2","STK11"
"AARS2","SYMPK"
"AARS2","TJAP1"
"AARS2","TMEM55A"
"AARS2","TUBB"
"AARS2","UBA1"
"AARS2","UBE2I"
"AARS2","UBE2Q2"
"AARS2","VPS37A"
"AARS2","ZBTB17"
"ABCA1","CD14"
"ABCA1","CXCL16"
"ABCA1","DAPK1"
"ABCA1","EPB41L3"
"ABCA2","ARHGEF1"
"ABCA2","ARRB2"
"ABCA2","ATG12"
"ABCA2","ATP6V0C"
"ABCA2","CD4"
"ABCA2","CYTH4"
"ABCA2","DGKZ"
"ABCA2","FLNA"
"ABCA2","HERC1"
"ABCA2","HLA-C"
"ABCA2","HLA-F"
"ABCA2","HLA-G"
"ABCA2","IFNGR2"
"ABCA2","IL11RA"
"ABCA2","IL2RG"
"ABCA2","IRF9"
"ABCA2","ITGAL"
"ABCA2","JAK3"
"ABCA2","JMJD7-PLA2G4B"
"ABCA2","MPHOSPH10"
"ABCA2","NXF1"
"ABCA2","PLCB2"
"ABCA2","POLR2K"
"ABCA2","PRKACA"
"ABCA2","SELPLG"
"ABCA2","SSBP1"
"ABCA2","STAT2"
"ABCA2","STAT5A"
"ABCA2","TLN1"
"ABCA2","TWISTNB"
"ABCA2","UBE2Z"
"ABCA7","ADRBK1"
"ABCA7","ANAPC2"
"ABCA7","ARFGAP2"
"ABCA7","ARHGEF1"
"ABCA7","ATP6V0A1"
"ABCA7","ATP6V1G2"
"ABCA7","BECN1"
"ABCA7","CALCRL"
"ABCA7","CDC42"
"ABCA7","CHD8"
"ABCA7","CRK"
"ABCA7","DGKA"
"ABCA7","E2F4"
"ABCA7","FOLR1"
"ABCA7","HCLS1"
"ABCA7","HGS"
"ABCA7","INPP5B"
"ABCA7","INPP5D"
"ABCA7","INPPL1"
"ABCA7","IRF9"
"ABCA7","JMJD7-PLA2G4B"
"ABCA7","LTB4R"
"ABCA7","MAP3K14"
"ABCA7","MAP4K1"
"ABCA7","MAPK8IP3"
"ABCA7","MPV17L"
"ABCA7","NCKAP1L"
"ABCA7","PIK3CD"
"ABCA7","PPP1R12C"
"ABCA7","PPP2R5E"
"ABCA7","PRKCI"
"ABCA7","PSD4"
"ABCA7","SEC61A2"
"ABCA7","SH3GLB2"
"ABCA7","SNAI2"
"ABCA7","SPI1"
"ABCA7","STAT6"
"ABCA7","STK4"
"ABCA7","STRADA"
"ABCA7","SYMPK"
"ABCA7","SYVN1"
"ABCA7","TYK2"
"ABCA7","VHL"
"ABCA7","VPS37A"
"ABCA7","ZFYVE27"
"ABCA8","CAV2"
"ABCA8","FHL1"
"ABCA8","PTPRB"
"ABCB1","ABCB4"
"ABCB10","CAPZA2"
"ABCB10","SPTAN1"
"ABCB10","STK11"
"ABCB6","ADRBK1"
"ABCB6","ANAPC2"
"ABCB6","AP2M1"
"ABCB6","ARF1"
"ABCB6","ARFGAP2"
"ABCB6","ARHGEF1"
"ABCB6","ATG12"
"ABCB6","ATP6V1G2"
"ABCB6","DVL3"
"ABCB6","FOLR1"
"ABCB6","HGS"
"ABCB6","IMPA1"
"ABCB6","INPPL1"
"ABCB6","PPP2R5E"
"ABCB6","STK36"
"ABCB6","UBA1"
"ABCC1","ABCC10"
"ABCC1","ANAPC10"
"ABCC1","ARHGEF1"
"ABCC1","ATG12"
"ABCC1","ATP6V0C"
"ABCC1","CAPZA2"
"ABCC1","CSNK1G2"
"ABCC1","CTBP1"
"ABCC1","DYNC1H1"
"ABCC1","DYNC1LI2"
"ABCC1","HERC1"
"ABCC1","IMPA1"
"ABCC1","JUND"
"ABCC1","LAMP1"
"ABCC1","MCL1"
"ABCC1","MGRN1"
"ABCC1","MTMR3"
"ABCC1","MYH9"
"ABCC1","NCOR2"
"ABCC1","NXT1"
"ABCC1","PI4KA"
"ABCC1","PIK3CD"
"ABCC1","POLR2K"
"ABCC1","POP4"
"ABCC1","RCHY1"
"ABCC1","RPP30"
"ABCC1","SSH1"
"ABCC1","STAT2"
"ABCC1","STK11"
"ABCC1","STK4"
"ABCC1","TCEB1"
"ABCC1","TYK2"
"ABCC1","WIPF2"
"ABCC10","ANAPC10"
"ABCC10","ATP6V0A1"
"ABCC10","ATP6V0C"
"ABCC10","DARS"
"ABCC10","DGKZ"
"ABCC10","DYNC1LI2"
"ABCC10","HACL1"
"ABCC10","HERC1"
"ABCC10","HLA-C"
"ABCC10","HLA-F"
"ABCC10","HLA-G"
"ABCC10","JAK3"
"ABCC10","JMJD7-PLA2G4B"
"ABCC10","MCL1"
"ABCC10","MTMR3"
"ABCC10","NUMBL"
"ABCC10","NXT1"
"ABCC10","PEX3"
"ABCC10","PGF"
"ABCC10","PI4KB"
"ABCC10","POLR2C"
"ABCC10","POLR2K"
"ABCC10","PPP3R1"
"ABCC10","RALB"
"ABCC10","SELPLG"
"ABCC10","SSBP1"
"ABCC10","STAT2"
"ABCC10","SYMPK"
"ABCC10","TCIRG1"
"ABCC5","ANAPC10"
"ABCC5","ARHGEF1"
"ABCC5","DARS"
"ABCC5","E2F4"
"ABCC5","EPOR"
"ABCC5","FOLR1"
"ABCC5","JMJD7-PLA2G4B"
"ABCC5","KAT2A"
"ABCC5","LTB4R"
"ABCC5","PPP2R5E"
"ABCC5","SYMPK"
"ABCC5","UBE2D4"
"ABCC5","UBE2K"
"ABCD1","ATP6AP1"
"ABCD1","ATP6V0C"
"ABCD1","CALR"
"ABCD1","CD4"
"ABCD1","HLA-F"
"ABCD1","IFNGR2"
"ABCD1","IKBKG"
"ABCD1","M6PR"
"ABCD1","NCSTN"
"ABCD1","RAB5B"
"ABCD1","UBE2Z"
"ABL1","ACTN4"
"ABL1","AKT1"
"ABL1","ANAPC10"
"ABL1","ANAPC2"
"ABL1","AP2M1"
"ABL1","ARF1"
"ABL1","ATG12"
"ABL1","ATP2A2"
"ABL1","ATP6V0C"
"ABL1","ATP6V1G2"
"ABL1","CAPZA2"
"ABL1","CCDC53"
"ABL1","CHD8"
"ABL1","CSNK1D"
"ABL1","CTBP1"
"ABL1","DVL3"
"ABL1","DYNC1H1"
"ABL1","ERC1"
"ABL1","FLNA"
"ABL1","HGS"
"ABL1","HSP90AB1"
"ABL1","IMPA1"
"ABL1","IQSEC1"
"ABL1","IRAK1"
"ABL1","JAK1"
"ABL1","JUND"
"ABL1","MAX"
"ABL1","MGRN1"
"ABL1","MTMR3"
"ABL1","MYH9"
"ABL1","NCOR2"
"ABL1","PEX3"
"ABL1","PIP5K1C"
"ABL1","POLR2K"
"ABL1","POP4"
"ABL1","RAP1B"
"ABL1","RAPGEF1"
"ABL1","SPTAN1"
"ABL1","SRF"
"ABL1","STAM2"
"ABL1","STK11"
"ABL1","STK36"
"ABL1","STK4"
"ABL1","TAOK2"
"ABL1","TCEB1"
"ABL1","TUBB"
"ABL1","UBA1"
"ABL1","VTA1"
"ABL1","WASF2"
"ABL1","WIPF2"
"ABL1","YWHAG"
"ACAP1","ARHGEF1"
"ACAP1","ARRB2"
"ACAP1","CORO1A"
"ACAP1","CYTH4"
"ACAP1","DGKZ"
"ACAP1","HCLS1"
"ACAP1","IL2RG"
"ACAP1","INPP5D"
"ACAP1","ITGAL"
"ACAP1","JAK3"
"ACAP1","NXF1"
"ACAP1","PFN1"
"ACAP1","PSD4"
"ACAP1","PTPN6"
"ACAP1","RAB23"
"ACAP1","RAC2"
"ACAP1","TPM3"
"ACAP1","UBA7"
"ACAP3","ACTB"
"ACAP3","ADRBK1"
"ACAP3","ANAPC2"
"ACAP3","AP2A2"
"ACAP3","AP2M1"
"ACAP3","ARFGAP2"
"ACAP3","ARHGEF1"
"ACAP3","ARRB2"
"ACAP3","ATG12"
"ACAP3","ATG4C"
"ACAP3","ATP6V1G2"
"ACAP3","CHD8"
"ACAP3","CHMP2B"
"ACAP3","CSNK1G2"
"ACAP3","CSNK1G3"
"ACAP3","DGKZ"
"ACAP3","DVL3"
"ACAP3","DYNC1H1"
"ACAP3","FLNA"
"ACAP3","FOLR1"
"ACAP3","HGS"
"ACAP3","IMPA1"
"ACAP3","INPP5E"
"ACAP3","INPPL1"
"ACAP3","ITPR3"
"ACAP3","JMJD7-PLA2G4B"
"ACAP3","MAP2K2"
"ACAP3","PFN1"
"ACAP3","PPP1R12C"
"ACAP3","PRKACA"
"ACAP3","PSD4"
"ACAP3","RAB5B"
"ACAP3","RAF1"
"ACAP3","RASSF1"
"ACAP3","SH3GLB2"
"ACAP3","SPTAN1"
"ACAP3","ULK3"
"ACOX1","ADRBK1"
"ACOX1","AKT2"
"ACOX1","AP2M1"
"ACOX1","ATP6V1G2"
"ACOX1","CDC42"
"ACOX1","CHD8"
"ACOX1","DGKD"
"ACOX1","E2F4"
"ACOX1","EGLN2"
"ACOX1","FOLR1"
"ACOX1","GNAI1"
"ACOX1","GUCY1B3"
"ACOX1","HCLS1"
"ACOX1","HSP90AB1"
"ACOX1","IL18"
"ACOX1","INPP5D"
"ACOX1","INPPL1"
"ACOX1","ITGAV"
"ACOX1","LTB4R"
"ACOX1","MAP2K7"
"ACOX1","MAPK8IP3"
"ACOX1","MCM3"
"ACOX1","MDM4"
"ACOX1","NXF1"
"ACOX1","PDGFC"
"ACOX1","PI4KA"
"ACOX1","PPP1R12C"
"ACOX1","PPP5C"
"ACOX1","PSD4"
"ACOX1","PWP2"
"ACOX1","RAF1"
"ACOX1","RAP1B"
"ACOX1","RAPGEF1"
"ACOX1","SNAI2"
"ACOX1","SOCS6"
"ACOX1","STAT6"
"ACOX1","STK3"
"ACOX1","STX12"
"ACOX1","SYMPK"
"ACOX1","SYVN1"
"ACOX1","TYK2"
"ACOX1","UBE2I"
"ACOX1","UBE2W"
"ACOX1","VHL"
"ACOX1","ZFYVE27"
"ACP1","LAMP1"
"ACP1","SSBP1"
"ACP1","TNFRSF1A"
"ACSL1","CCR1"
"ACSL1","EPB41L3"
"ACSL1","FCGR2A"
"ACSL1","SOD2"
"ACSL1","TLR2"
"ACTB","ACTG1"
"ACTB","ACTN4"
"ACTB","AKT1"
"ACTB","AKT1S1"
"ACTB","ANAPC10"
"ACTB","ANAPC11"
"ACTB","AP2A2"
"ACTB","ARF1"
"ACTB","ARHGEF11"
"ACTB","ATP2A2"
"ACTB","ATP6V1G2"
"ACTB","CBL"
"ACTB","CD34"
"ACTB","CSF1R"
"ACTB","CSNK1D"
"ACTB","CYTH1"
"ACTB","DDB1"
"ACTB","DGKZ"
"ACTB","DIAPH1"
"ACTB","DNM2"
"ACTB","DVL3"
"ACTB","FLNA"
"ACTB","GNAI2"
"ACTB","HCLS1"
"ACTB","HGS"
"ACTB","IL2RG"
"ACTB","ILK"
"ACTB","INPP5D"
"ACTB","JAK1"
"ACTB","JAK3"
"ACTB","MAP2K2"
"ACTB","MAPKAPK2"
"ACTB","MCL1"
"ACTB","MSN"
"ACTB","MTMR14"
"ACTB","MYH9"
"ACTB","NCOR2"
"ACTB","PFN1"
"ACTB","PI4KA"
"ACTB","POLR2A"
"ACTB","PPP1R12C"
"ACTB","PPP2R1A"
"ACTB","RAB5B"
"ACTB","RAB8A"
"ACTB","RAPGEF1"
"ACTB","RELA"
"ACTB","SMURF1"
"ACTB","SPTAN1"
"ACTB","TGFB1"
"ACTB","TSC2"
"ACTB","TUBA1C"
"ACTB","TUBB"
"ACTB","UBA1"
"ACTB","WAS"
"ACTB","WASF2"
"ACTB","WIPF2"
"ACTB","YWHAZ"
"ACTB","ZYX"
"ACTG1","ACTN4"
"ACTG1","ANAPC10"
"ACTG1","CAPZB"
"ACTG1","COL6A2"
"ACTG1","CYCS"
"ACTG1","EGLN2"
"ACTG1","FLNA"
"ACTG1","HCLS1"
"ACTG1","JUND"
"ACTG1","MAP2K2"
"ACTG1","MAP2K3"
"ACTG1","MCL1"
"ACTG1","MSN"
"ACTG1","MYH9"
"ACTG1","PFN1"
"ACTG1","POLR1D"
"ACTG1","POLR2A"
"ACTG1","RAB8A"
"ACTG1","RAPGEF1"
"ACTG1","SPTAN1"
"ACTG1","SRF"
"ACTG1","TGFB1"
"ACTG1","TUBB"
"ACTG1","UBA1"
"ACTG1","WIPF2"
"ACTG1","ZYX"
"ACTN1","ACVR1"
"ACTN1","ASAP2"
"ACTN1","ATP2B4"
"ACTN1","C1R"
"ACTN1","CCND1"
"ACTN1","CD99"
"ACTN1","COL1A1"
"ACTN1","COL1A2"
"ACTN1","COL4A1"
"ACTN1","COL4A2"
"ACTN1","COL6A1"
"ACTN1","COL6A2"
"ACTN1","COL6A3"
"ACTN1","CSF1"
"ACTN1","CTBP2"
"ACTN1","CTNNA1"
"ACTN1","CTNND1"
"ACTN1","CTSK"
"ACTN1","CTTN"
"ACTN1","DAB2"
"ACTN1","EHD2"
"ACTN1","EPAS1"
"ACTN1","GABARAPL1"
"ACTN1","GAS1"
"ACTN1","GNA11"
"ACTN1","GNAQ"
"ACTN1","HSPA1A"
"ACTN1","HSPG2"
"ACTN1","IGF1R"
"ACTN1","IL13RA1"
"ACTN1","IL1R1"
"ACTN1","ITGA5"
"ACTN1","ITGAM"
"ACTN1","JAG1"
"ACTN1","JAM3"
"ACTN1","JUN"
"ACTN1","LAMA4"
"ACTN1","LAMB2"
"ACTN1","LAMP1"
"ACTN1","LMNA"
